name,kv_anhhuong,time_start,lon,lat,level,disaster_level,type
Mưa lớn tại Điện Biên,"Xã Nà Nhạn, phường Mường Thanh - TP.Điện Biên Phủ, huyện Mường Ảng, huyện Điện biên - tỉnh Điện Biên",2022-06-30T04:00:00,103.041231,21.399744,0,,Mưa lớn
Lốc tại Cà Mau,"Ấp Gò Công Đông, xã Nguyễn Việt Khái, huyện Phú Tân, tỉnh Cà Mau",2022-02-05T12:00:00,104.822684,8.778701,0,,Lốc
Sét tại Bình Thuận,"khu vực rẫy thuộc thôn 9, xã Nam Chính, huyện Đức Linh, tỉnh Bình Thuận",2022-03-27T16:50:00,107.526337,11.248102,0,,Sét
,Xã Trà Nam - huyện Nam Trà My - tỉnh Quảng Nam,2022-06-30T17:22:00,108.128,14.961,0,,Động đất
Lốc xoáy tại Bình Thuận,"Xã Hàm Phú và xã Đông Tiến, huyện Hàm Thuận Bắc, tỉnh Bình Thuận",2022-04-12T13:04:00,108.10156860623198,11.132544733326297,0,,Lốc
Động đất tại Kon Tum,Xã Măng Búk - huyện Kon Plông - tỉnh Kon Tum,2022-01-02T16:39:00,108.203,14.841,0,,Động đất
Động đất tại Kon Tum,Xã Đắk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-06-30T15:21:00,108.253,14.831,0,,Động đất
Động đất tại Quảng Nam,Xã Trà Mai - huyện Nam Trà My - tỉnh Quảng Nam,2022-01-01T16:15:00,108.134,15.196,0,,Động đất
Động đất tại Kon Tum,Xã Pờ Ê - huyện Kon Plông - tỉnh Kon Tum,2022-04-18T12:54:00,108.468,14.713,0,1,Động đất
"Mưa lớn kèm dông, lốc tại Hòa Bình","Huyện Kim Bôi, thành phố Hòa Bình - tỉnh Hòa Bình",2022-03-06T19:00:00,105.443389,20.740025,0,1,Lốc
Động đất tại Kon Tum,Xã Đăk Kôi - huyện Kon Rẫy - tỉnh Kon Tum,2022-04-17T15:55:00,108.204,14.716,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-04-15T00:43:00,108.238,14.849,0,,Động đất
Động đất tại Quảng Nam,Xã Trà Linh - huyện Nam Trà My - tỉnh Quảng Nam,2022-01-02T16:09:00,108.003,15.015,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plong - tỉnh Kon Tum,2022-01-05T01:23:00,108.269,14.874,0,,Động đất
Sạt lở đất tại An Giang,"Thuộc tổ 16, ấp Long Thạnh 2, xã Long Giang, huyện Chợ Mới, tỉnh An Giang",2022-03-28T11:50:00,105.438666,10.474717,0,,Sạt lở đất
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plông - tỉnh Kon Tum,2022-01-06T13:33:00,108.291,14.874,0,,Động đất
Lốc tại Bình Phước,"Huyện Chơn Thành, tỉnh Bình Phước",2022-03-27T13:00:00,106.64243,11.43152,0,,Lốc
Sạt lở đất tại Cà Mau,"Ấp Thuận Hoà, xã Tân Đức, huyện Đầm Dơi, tỉnh Cà Mau",2022-03-27T10:00:00,105.298953,9.025723,0,,Sạt lở đất
Lốc tại Đăk Nông,"Xã Nâm N'Dir huyện Krông Nô, xã Đắk Gằn huyện Đăk Mi, tỉnh Đăk Nông",2022-03-27T09:00:00,107.780702,12.547032,0,,Lốc
Động đất tại Kon Tum,Xã Măng Búk - huyện Kon Plông - tỉnh Kon Tum,2022-04-17T00:43:00,108.161,14.906,0,,Động đất
Động đất tại Kon Tum,Xã Đăk Ring - huyện Kon Plong - tỉnh Kon Tum,2022-01-05T02:03:00,108.227,14.951,0,,Động đất
