,name,time_start,lon,lat,level,type,province
96,Lốc xoáy tại Bình Thuận,2022-04-12,108.10156860623198,11.132544733326297,0,Lốc,Binh Thuan
97,Động đất tại Kon Tum,2022-01-02,108.203,14.841,0,Động đất,Kon Tum
98,Động đất tại Kon Tum,2022-06-30,108.253,14.831,0,Động đất,Kon Tum
99,Động đất tại Quảng Nam,2022-01-01,108.134,15.196,0,Động đất,Quang Nam
100,Động đất tại Kon Tum,2022-04-18,108.468,14.713,0,Động đất,Kon Tum
101,"Mưa lớn kèm dông, lốc tại Hòa Bình",2022-03-06,105.443389,20.740025,0,Lốc,Hoa Binh
102,Động đất tại Kon Tum,2022-04-17,108.204,14.716,0,Động đất,Kon Tum
103,Động đất tại Kon Tum,2022-04-15,108.238,14.849,0,Động đất,Kon Tum
104,Động đất tại Quảng Nam,2022-01-02,108.003,15.015,0,Động đất,Quang Nam
105,Động đất tại Kon Tum,2022-01-05,108.269,14.874,0,Động đất,Kon Tum
106,Sạt lở đất tại An Giang,2022-03-28,105.438666,10.474717,0,Sạt lở đất,An Giang
107,Động đất tại Kon Tum,2022-01-06,108.291,14.874,0,Động đất,Kon Tum
108,Lốc tại Bình Phước,2022-03-27,106.64243,11.43152,0,Lốc,Binh Phuoc
109,Sạt lở đất tại Cà Mau,2022-03-27,105.298953,9.025723,0,Sạt lở đất,Ca Mau
110,Lốc tại Đăk Nông,2022-03-27,107.780702,12.547032,0,Lốc,Đak Nong
111,Động đất tại Kon Tum,2022-04-17,108.161,14.906,0,Động đất,Kon Tum
112,Động đất tại Kon Tum,2022-01-05,108.227,14.951,0,Động đất,Kon Tum
113,Động đất tại Kon Tum,2022-01-05,108.257,14.909,0,Động đất,Kon Tum
114,Động đất tại Kon Tum,2022-01-05,108.222,14.942,0,Động đất,Kon Tum
115,Động đất tại Kon Tum,2022-01-05,108.217,14.964,0,Động đất,Kon Tum
116,Động đất tại Quảng Nam,2022-01-08,108.109,15.038,0,Động đất,Quang Nam
117,Động đất tại Kon Tum,2022-01-11,108.489,14.762,0,Động đất,Kon Tum
119,Động đất tại Kon Tum,2022-01-12,108.271,14.872,0,Động đất,Kon Tum
120,Động đất tại Kon Tum,2022-01-11,108.504,14.747,0,Động đất,Kon Tum
121,"Mưa lớn, ngập úng tại Tây Ninh",2022-02-10,106.072383,11.4169,0,Mưa lớn,Tay Ninh
122,Mưa lớn tại Tây Ninh,2022-02-04,105.994078,11.359738,0,Mưa lớn,Tay Ninh
123,Động đất tại Kon Tum,2022-01-12,108.178,14.969,0,Động đất,Kon Tum
124,Sạt lở đất tại Cần Thơ,2022-03-28,105.655844,10.143959,0,Sạt lở đất,Can Tho
126,Động đất tại Kon Tum,2022-04-18,108.442,14.727,0,Động đất,Kon Tum
127,Động đất tại Kon Tum,2022-02-10,108.241,14.959,0,Động đất,Kon Tum
128,Động đất tại Kon Tum,2022-02-08,108.274,14.826,0,Động đất,Kon Tum
129,Động đất tại Bắc Ninh,2022-01-17,106.036,21.171,0,Động đất,Bac Ninh
130,Động đất tại Kon Tum,2022-01-05,108.211,14.976,0,Động đất,Kon Tum
131,Động đất tại Kon Tum,2022-01-29,108.305,14.874,0,Động đất,Kon Tum
132,Sạt lở tại Hòa Bình,2022-01-17,104.905046,21.035326,0,Sạt lở đất,Hoa Binh
134,Động đất tại Bắc Ninh,2022-01-17,106.052,21.183,0,Động đất,Bac Ninh
135,Động đất tại Kon Tum,2022-04-18,108.254,14.83,0,Động đất,Kon Tum
136,Động đất tại Kon Tum,2022-04-18,108.422,14.736,0,Động đất,Kon Tum
